Orthogroup	cog_pos_go	protein_mansoni	Total
OG0000489	17	0	17
OG0000490	17	0	17
OG0000491	17	0	17
OG0000492	17	0	17
OG0000493	0	17	17
OG0000494	0	17	17
OG0000495	0	17	17
OG0000496	16	0	16
OG0000497	16	0	16
OG0000498	16	0	16
OG0000499	16	0	16
OG0000500	0	16	16
OG0000501	0	16	16
OG0000502	0	16	16
OG0000503	0	16	16
OG0000504	15	0	15
OG0000505	15	0	15
OG0000506	15	0	15
OG0000507	15	0	15
OG0000508	15	0	15
OG0000509	15	0	15
OG0000510	0	15	15
OG0000511	0	15	15
OG0000512	0	15	15
OG0000513	0	15	15
OG0000514	0	15	15
OG0000515	14	0	14
OG0000516	14	0	14
OG0000517	14	0	14
OG0000518	14	0	14
OG0000519	14	0	14
OG0000520	14	0	14
OG0000521	0	14	14
OG0000522	0	14	14
OG0000523	0	14	14
OG0000524	0	14	14
OG0000525	0	14	14
OG0000526	13	0	13
OG0000527	13	0	13
OG0000528	13	0	13
OG0000529	13	0	13
OG0000530	13	0	13
OG0000531	13	0	13
OG0000532	13	0	13
OG0000533	13	0	13
OG0000534	0	13	13
OG0000535	0	13	13
OG0000536	0	13	13
OG0000537	0	13	13
OG0000538	0	13	13
OG0000539	0	13	13
OG0000540	0	13	13
OG0000541	0	13	13
OG0000542	0	13	13
OG0000543	0	13	13
OG0000544	12	0	12
OG0000545	12	0	12
OG0000546	12	0	12
OG0000547	12	0	12
OG0000548	12	0	12
OG0000549	0	12	12
OG0000550	0	12	12
OG0000551	0	12	12
OG0000552	0	12	12
OG0000553	0	12	12
OG0000554	0	12	12
OG0000555	0	12	12
OG0000556	0	12	12
OG0000557	0	12	12
OG0000558	0	12	12
OG0000559	0	12	12
OG0000560	0	12	12
OG0000561	0	12	12
OG0000562	11	0	11
OG0000563	11	0	11
OG0000564	11	0	11
OG0000565	11	0	11
OG0000566	11	0	11
OG0000567	11	0	11
OG0000568	11	0	11
OG0000569	11	0	11
OG0000570	11	0	11
OG0000571	11	0	11
OG0000572	11	0	11
OG0000573	11	0	11
OG0000574	11	0	11
OG0000575	11	0	11
OG0000576	11	0	11
OG0000577	11	0	11
OG0000578	0	11	11
OG0000579	0	11	11
OG0000580	0	11	11
OG0000581	0	11	11
OG0000582	0	11	11
OG0000583	0	11	11
OG0000584	0	11	11
OG0000585	0	11	11
OG0000586	0	11	11
OG0000587	0	11	11
OG0000588	0	11	11
OG0000589	0	11	11
OG0000590	0	11	11
OG0000591	0	11	11
OG0000592	0	11	11
OG0000593	0	11	11
OG0000594	10	0	10
OG0000595	10	0	10
OG0000596	10	0	10
OG0000597	10	0	10
OG0000598	10	0	10
OG0000599	10	0	10
OG0000600	10	0	10
OG0000601	10	0	10
OG0000602	10	0	10
OG0000603	10	0	10
OG0000604	10	0	10
OG0000605	10	0	10
OG0000606	10	0	10
OG0000607	0	10	10
OG0000608	0	10	10
OG0000609	0	10	10
OG0000610	0	10	10
OG0000611	0	10	10
OG0000612	0	10	10
OG0000613	0	10	10
OG0000614	0	10	10
OG0000615	0	10	10
OG0000616	0	10	10
OG0000617	0	10	10
OG0000618	0	10	10
OG0000619	0	10	10
OG0000620	0	10	10
OG0000621	0	10	10
OG0000622	0	10	10
OG0000623	9	0	9
OG0000624	9	0	9
OG0000625	9	0	9
OG0000626	9	0	9
OG0000627	9	0	9
OG0000628	9	0	9
OG0000629	9	0	9
OG0000630	9	0	9
OG0000631	9	0	9
OG0000632	9	0	9
OG0000633	9	0	9
OG0000634	9	0	9
OG0000635	9	0	9
OG0000636	9	0	9
OG0000637	9	0	9
OG0000638	9	0	9
OG0000639	9	0	9
OG0000640	9	0	9
OG0000641	9	0	9
OG0000642	9	0	9
OG0000643	9	0	9
OG0000644	0	9	9
OG0000645	0	9	9
OG0000646	0	9	9
OG0000647	0	9	9
OG0000648	0	9	9
OG0000649	0	9	9
OG0000650	0	9	9
OG0000651	0	9	9
OG0000652	0	9	9
OG0000653	0	9	9
OG0000654	0	9	9
OG0000655	0	9	9
OG0000656	0	9	9
OG0000657	0	9	9
OG0000658	0	9	9
OG0000659	0	9	9
OG0000660	8	0	8
OG0000661	8	0	8
OG0000662	8	0	8
OG0000663	8	0	8
OG0000664	8	0	8
OG0000665	7	1	8
OG0000666	8	0	8
OG0000667	8	0	8
OG0000668	8	0	8
OG0000669	8	0	8
OG0000670	8	0	8
OG0000671	8	0	8
OG0000672	8	0	8
OG0000673	8	0	8
OG0000674	8	0	8
OG0000675	8	0	8
OG0000676	8	0	8
OG0000677	8	0	8
OG0000678	8	0	8
OG0000679	0	8	8
OG0000680	0	8	8
OG0000681	0	8	8
OG0000682	0	8	8
OG0000683	0	8	8
OG0000684	0	8	8
OG0000685	0	8	8
OG0000686	0	8	8
OG0000687	0	8	8
OG0000688	0	8	8
OG0000689	0	8	8
OG0000690	0	8	8
OG0000691	0	8	8
OG0000692	0	8	8
OG0000693	0	8	8
OG0000694	0	8	8
OG0000695	0	8	8
OG0000696	0	8	8
OG0000697	0	8	8
OG0000698	0	8	8
OG0000699	0	8	8
OG0000700	0	8	8
OG0000701	7	0	7
OG0000702	7	0	7
OG0000703	7	0	7
OG0000704	7	0	7
OG0000705	7	0	7
OG0000706	7	0	7
OG0000707	7	0	7
OG0000708	7	0	7
OG0000709	7	0	7
OG0000710	7	0	7
OG0000711	7	0	7
OG0000712	7	0	7
OG0000713	7	0	7
OG0000714	7	0	7
OG0000715	7	0	7
OG0000716	7	0	7
OG0000717	7	0	7
OG0000718	7	0	7
OG0000719	0	7	7
OG0000720	0	7	7
OG0000721	0	7	7
OG0000722	0	7	7
OG0000723	0	7	7
OG0000724	0	7	7
OG0000725	0	7	7
OG0000726	0	7	7
OG0000727	0	7	7
OG0000728	0	7	7
OG0000729	0	7	7
OG0000730	0	7	7
OG0000731	0	7	7
OG0000732	0	7	7
OG0000733	0	7	7
OG0000734	0	7	7
OG0000735	0	7	7
OG0000736	0	7	7
OG0000737	0	7	7
OG0000738	0	7	7
OG0000739	6	0	6
OG0000740	6	0	6
OG0000741	6	0	6
OG0000742	6	0	6
OG0000743	6	0	6
OG0000744	6	0	6
OG0000745	6	0	6
OG0000746	6	0	6
OG0000747	6	0	6
OG0000748	6	0	6
OG0000749	6	0	6
OG0000750	6	0	6
OG0000751	6	0	6
OG0000752	6	0	6
OG0000753	4	2	6
OG0000754	6	0	6
OG0000755	6	0	6
OG0000756	6	0	6
OG0000757	6	0	6
OG0000758	6	0	6
OG0000759	6	0	6
OG0000760	6	0	6
OG0000761	6	0	6
OG0000762	6	0	6
OG0000763	6	0	6
OG0000764	6	0	6
OG0000765	6	0	6
OG0000766	6	0	6
OG0000767	6	0	6
OG0000768	6	0	6
OG0000769	6	0	6
OG0000770	6	0	6
OG0000771	6	0	6
OG0000772	6	0	6
OG0000773	6	0	6
OG0000774	6	0	6
OG0000775	6	0	6
OG0000776	6	0	6
OG0000777	6	0	6
OG0000778	6	0	6
OG0000779	6	0	6
OG0000780	6	0	6
OG0000781	6	0	6
OG0000782	6	0	6
OG0000783	6	0	6
OG0000784	6	0	6
OG0000785	6	0	6
OG0000786	6	0	6
OG0000787	6	0	6
OG0000788	6	0	6
OG0000789	0	6	6
OG0000790	0	6	6
OG0000791	0	6	6
OG0000792	0	6	6
OG0000793	0	6	6
OG0000794	0	6	6
OG0000795	0	6	6
OG0000796	0	6	6
OG0000797	0	6	6
OG0000798	0	6	6
OG0000799	0	6	6
OG0000800	0	6	6
OG0000801	0	6	6
OG0000802	0	6	6
OG0000803	0	6	6
OG0000804	0	6	6
OG0000805	0	6	6
OG0000806	0	6	6
OG0000807	0	6	6
OG0000808	0	6	6
OG0000809	0	6	6
OG0000810	0	6	6
OG0000811	0	6	6
OG0000812	0	6	6
OG0000813	0	6	6
OG0000814	0	6	6
OG0000815	0	6	6
OG0000816	0	6	6
OG0000817	0	6	6
OG0000818	0	6	6
OG0000819	0	6	6
OG0000820	0	6	6
OG0000821	0	6	6
OG0000822	0	6	6
OG0000823	0	6	6
OG0000824	0	6	6
OG0000825	0	6	6
OG0000826	5	0	5
OG0000827	5	0	5
OG0000828	5	0	5
OG0000829	5	0	5
OG0000830	5	0	5
OG0000831	5	0	5
OG0000832	4	1	5
OG0000833	5	0	5
OG0000834	5	0	5
OG0000835	5	0	5
OG0000836	5	0	5
OG0000837	5	0	5
OG0000838	5	0	5
OG0000839	5	0	5
OG0000840	5	0	5
OG0000841	4	1	5
OG0000842	5	0	5
OG0000843	5	0	5
OG0000844	5	0	5
OG0000845	5	0	5
OG0000846	5	0	5
OG0000847	5	0	5
OG0000848	5	0	5
OG0000849	5	0	5
OG0000850	5	0	5
OG0000851	5	0	5
OG0000852	5	0	5
OG0000853	5	0	5
OG0000854	5	0	5
OG0000855	5	0	5
OG0000856	5	0	5
OG0000857	5	0	5
OG0000858	5	0	5
OG0000859	5	0	5
OG0000860	5	0	5
OG0000861	5	0	5
OG0000862	5	0	5
OG0000863	5	0	5
OG0000864	5	0	5
OG0000865	5	0	5
OG0000866	5	0	5
OG0000867	5	0	5
OG0000868	5	0	5
OG0000869	5	0	5
OG0000870	5	0	5
OG0000871	0	5	5
OG0000872	0	5	5
OG0000873	0	5	5
OG0000874	0	5	5
OG0000875	0	5	5
OG0000876	0	5	5
OG0000877	0	5	5
OG0000878	0	5	5
OG0000879	0	5	5
OG0000880	0	5	5
OG0000881	0	5	5
OG0000882	0	5	5
OG0000883	0	5	5
OG0000884	0	5	5
OG0000885	0	5	5
OG0000886	0	5	5
OG0000887	0	5	5
OG0000888	0	5	5
OG0000889	0	5	5
OG0000890	0	5	5
OG0000891	0	5	5
OG0000892	0	5	5
OG0000893	0	5	5
OG0000894	0	5	5
OG0000895	0	5	5
OG0000896	0	5	5
OG0000897	0	5	5
OG0000898	0	5	5
OG0000899	0	5	5
OG0000900	0	5	5
OG0000901	0	5	5
OG0000902	0	5	5
OG0000903	0	5	5
OG0000904	0	5	5
OG0000905	0	5	5
OG0000906	0	5	5
OG0000907	0	5	5
OG0000908	0	5	5
OG0000909	0	5	5
OG0000910	0	5	5
OG0000911	0	5	5
OG0000912	0	5	5
OG0000913	0	5	5
OG0000914	0	5	5
OG0000915	0	5	5
OG0000916	0	5	5
OG0000917	0	5	5
OG0000918	0	5	5
OG0000919	0	5	5
OG0000920	0	5	5
OG0000921	0	5	5
OG0000922	0	5	5
OG0000923	0	5	5
OG0000924	0	5	5
OG0000925	4	0	4
OG0000926	4	0	4
OG0000927	4	0	4
OG0000928	4	0	4
OG0000929	4	0	4
OG0000930	4	0	4
OG0000931	4	0	4
OG0000932	4	0	4
OG0000933	4	0	4
OG0000934	4	0	4
OG0000935	4	0	4
OG0000936	4	0	4
OG0000937	4	0	4
OG0000938	4	0	4
OG0000939	4	0	4
OG0000940	4	0	4
OG0000941	4	0	4
OG0000942	4	0	4
OG0000943	4	0	4
OG0000944	4	0	4
OG0000945	4	0	4
OG0000946	4	0	4
OG0000947	4	0	4
OG0000948	4	0	4
OG0000949	4	0	4
OG0000950	4	0	4
OG0000951	4	0	4
OG0000952	4	0	4
OG0000953	4	0	4
OG0000954	4	0	4
OG0000955	4	0	4
OG0000956	4	0	4
OG0000957	4	0	4
OG0000958	4	0	4
OG0000959	4	0	4
OG0000960	4	0	4
OG0000961	4	0	4
OG0000962	4	0	4
OG0000963	4	0	4
OG0000964	4	0	4
OG0000965	4	0	4
OG0000966	4	0	4
OG0000967	4	0	4
OG0000968	3	1	4
OG0000969	4	0	4
OG0000970	4	0	4
OG0000971	4	0	4
OG0000972	4	0	4
OG0000973	4	0	4
OG0000974	4	0	4
OG0000975	4	0	4
OG0000976	4	0	4
OG0000977	4	0	4
OG0000978	4	0	4
OG0000979	4	0	4
OG0000980	4	0	4
OG0000981	4	0	4
OG0000982	4	0	4
OG0000983	4	0	4
OG0000984	4	0	4
OG0000985	4	0	4
OG0000986	4	0	4
OG0000987	4	0	4
OG0000988	4	0	4
OG0000989	4	0	4
OG0000990	4	0	4
OG0000991	4	0	4
OG0000992	3	1	4
OG0000993	4	0	4
OG0000994	4	0	4
OG0000995	4	0	4
OG0000996	4	0	4
OG0000997	4	0	4
OG0000998	4	0	4
OG0000999	4	0	4
OG0001000	3	1	4
OG0001001	4	0	4
OG0001002	4	0	4
OG0001003	4	0	4
OG0001004	4	0	4
OG0001005	4	0	4
OG0001006	4	0	4
OG0001007	4	0	4
OG0001008	4	0	4
OG0001009	4	0	4
OG0001010	4	0	4
OG0001011	4	0	4
OG0001012	4	0	4
OG0001013	4	0	4
OG0001014	4	0	4
OG0001015	4	0	4
OG0001016	4	0	4
OG0001017	4	0	4
OG0001018	4	0	4
OG0001019	4	0	4
OG0001020	4	0	4
OG0001021	4	0	4
OG0001022	4	0	4
OG0001023	4	0	4
OG0001024	4	0	4
OG0001025	4	0	4
OG0001026	4	0	4
OG0001027	4	0	4
OG0001028	4	0	4
OG0001029	4	0	4
OG0001030	4	0	4
OG0001031	4	0	4
OG0001032	4	0	4
OG0001033	0	4	4
OG0001034	0	4	4
OG0001035	0	4	4
OG0001036	0	4	4
OG0001037	0	4	4
OG0001038	0	4	4
OG0001039	0	4	4
OG0001040	0	4	4
OG0001041	0	4	4
OG0001042	0	4	4
OG0001043	0	4	4
OG0001044	0	4	4
OG0001045	0	4	4
OG0001046	0	4	4
OG0001047	0	4	4
OG0001048	0	4	4
OG0001049	0	4	4
OG0001050	0	4	4
OG0001051	0	4	4
OG0001052	0	4	4
OG0001053	0	4	4
OG0001054	0	4	4
OG0001055	0	4	4
OG0001056	0	4	4
OG0001057	0	4	4
OG0001058	0	4	4
OG0001059	0	4	4
OG0001060	0	4	4
OG0001061	0	4	4
OG0001062	0	4	4
OG0001063	0	4	4
OG0001064	0	4	4
OG0001065	0	4	4
OG0001066	0	4	4
OG0001067	0	4	4
OG0001068	0	4	4
OG0001069	0	4	4
OG0001070	0	4	4
OG0001071	0	4	4
OG0001072	0	4	4
OG0001073	0	4	4
OG0001074	0	4	4
OG0001075	0	4	4
OG0001076	0	4	4
OG0001077	0	4	4
OG0001078	0	4	4
OG0001079	0	4	4
OG0001080	0	4	4
OG0001081	0	4	4
OG0001082	0	4	4
OG0001083	0	4	4
OG0001084	0	4	4
OG0001085	0	4	4
OG0001086	0	4	4
OG0001087	0	4	4
OG0001088	0	4	4
OG0001089	0	4	4
OG0001090	0	4	4
OG0001091	0	4	4
OG0001092	0	4	4
OG0001093	0	4	4
OG0001094	0	4	4
OG0001095	0	4	4
OG0001096	0	4	4
OG0001097	0	4	4
OG0001098	0	4	4
OG0001099	0	4	4
OG0001100	0	4	4
OG0001101	0	4	4
OG0001102	0	4	4
OG0001103	0	4	4
OG0001104	0	4	4
OG0001105	0	4	4
OG0001106	0	4	4
OG0001107	0	4	4
OG0001108	0	4	4
OG0001109	0	4	4
OG0001110	0	4	4
OG0001111	0	4	4
OG0001112	0	4	4
OG0001113	0	4	4
OG0001114	0	4	4
OG0001115	0	4	4
OG0001116	0	4	4
OG0001117	0	4	4
OG0001118	0	4	4
OG0001119	0	4	4
OG0001120	0	4	4
OG0001121	0	4	4
OG0001122	0	4	4
OG0001123	0	4	4
OG0001124	0	4	4
OG0001125	0	4	4
OG0001126	3	0	3
OG0001127	3	0	3
OG0001128	3	0	3
OG0001129	3	0	3
OG0001130	3	0	3
OG0001131	3	0	3
OG0001132	3	0	3
OG0001133	3	0	3
OG0001134	3	0	3
OG0001135	3	0	3
OG0001136	3	0	3
OG0001137	3	0	3
OG0001138	3	0	3
OG0001139	3	0	3
OG0001140	3	0	3
OG0001141	3	0	3
OG0001142	3	0	3
OG0001143	3	0	3
OG0001144	3	0	3
OG0001145	3	0	3
OG0001146	3	0	3
OG0001147	2	1	3
OG0001148	3	0	3
OG0001149	3	0	3
OG0001150	3	0	3
OG0001151	3	0	3
OG0001152	3	0	3
OG0001153	2	1	3
OG0001154	3	0	3
OG0001155	3	0	3
OG0001156	3	0	3
OG0001157	3	0	3
OG0001158	3	0	3
OG0001159	3	0	3
