Orthogroup	cel_kog_final	dme_costa_final	kog_cel_final	kog_dme_final	kog_sce_final	kog_total_final	sce_costa_final	total_costa_final	Total
OG0000239	0	0	0	0	9	0	0	0	9
OG0000240	0	0	0	0	0	0	9	0	9
OG0000241	4	0	4	0	0	0	0	0	8
OG0000242	4	0	4	0	0	0	0	0	8
OG0000243	4	0	4	0	0	0	0	0	8
OG0000244	1	0	1	1	4	1	0	0	8
OG0000245	8	0	0	0	0	0	0	0	8
OG0000246	8	0	0	0	0	0	0	0	8
OG0000247	8	0	0	0	0	0	0	0	8
OG0000248	8	0	0	0	0	0	0	0	8
OG0000249	0	0	8	0	0	0	0	0	8
OG0000250	0	0	8	0	0	0	0	0	8
OG0000251	0	0	8	0	0	0	0	0	8
OG0000252	0	0	8	0	0	0	0	0	8
OG0000253	0	0	0	8	0	0	0	0	8
OG0000254	0	0	0	0	4	4	0	0	8
OG0000255	0	0	0	0	4	4	0	0	8
OG0000256	0	0	0	0	4	4	0	0	8
OG0000257	1	0	1	1	2	2	0	0	7
OG0000258	0	0	0	1	0	6	0	0	7
OG0000259	0	0	0	4	1	1	1	0	7
OG0000260	1	0	1	0	3	1	0	0	6
OG0000261	1	0	1	1	1	1	1	0	6
OG0000262	1	0	1	1	1	1	1	0	6
OG0000263	1	0	1	1	1	1	1	0	6
OG0000264	1	0	1	2	2	0	0	0	6
OG0000265	1	0	1	1	1	1	1	0	6
OG0000266	1	0	1	1	1	1	1	0	6
OG0000267	3	0	3	0	0	0	0	0	6
OG0000268	3	0	3	0	0	0	0	0	6
OG0000269	3	0	3	0	0	0	0	0	6
OG0000270	1	0	1	1	2	0	1	0	6
OG0000271	1	0	1	1	1	1	1	0	6
OG0000272	1	0	1	1	1	2	0	0	6
OG0000273	1	0	1	1	1	1	1	0	6
OG0000274	3	0	3	0	0	0	0	0	6
OG0000275	3	0	3	0	0	0	0	0	6
OG0000276	3	0	3	0	0	0	0	0	6
OG0000277	2	0	2	2	0	0	0	0	6
OG0000278	3	0	3	0	0	0	0	0	6
OG0000279	3	0	3	0	0	0	0	0	6
OG0000280	3	0	3	0	0	0	0	0	6
OG0000281	0	0	0	6	0	0	0	0	6
OG0000282	0	0	0	4	2	0	0	0	6
OG0000283	0	0	0	6	0	0	0	0	6
OG0000284	0	0	0	0	6	0	0	0	6
OG0000285	1	1	1	0	1	1	0	0	5
OG0000286	1	0	1	1	1	1	0	0	5
OG0000287	1	0	1	0	3	0	0	0	5
OG0000288	2	0	2	1	0	0	0	0	5
OG0000289	1	0	1	1	1	1	0	0	5
OG0000290	1	0	1	1	1	1	0	0	5
OG0000291	1	0	1	0	3	0	0	0	5
OG0000292	1	0	1	0	1	1	1	0	5
OG0000293	1	0	1	1	1	1	0	0	5
OG0000294	2	0	2	1	0	0	0	0	5
OG0000295	1	0	1	1	1	1	0	0	5
OG0000296	1	0	1	1	1	1	0	0	5
OG0000297	1	0	1	1	1	1	0	0	5
OG0000298	1	0	1	1	1	1	0	0	5
OG0000299	1	0	1	3	0	0	0	0	5
OG0000300	1	0	1	1	1	1	0	0	5
OG0000301	1	0	1	0	3	0	0	0	5
OG0000302	0	1	0	1	1	0	1	1	5
OG0000303	0	0	0	0	1	4	0	0	5
OG0000304	0	0	0	0	5	0	0	0	5
OG0000305	0	0	0	0	5	0	0	0	5
OG0000306	1	0	1	0	1	0	1	0	4
OG0000307	1	0	1	1	0	1	0	0	4
OG0000308	1	0	1	0	2	0	0	0	4
OG0000309	2	0	2	0	0	0	0	0	4
OG0000310	1	0	1	1	0	1	0	0	4
OG0000311	1	0	1	0	1	1	0	0	4
OG0000312	1	0	1	1	1	0	0	0	4
OG0000313	1	0	1	0	1	0	1	0	4
OG0000314	1	0	1	0	1	0	1	0	4
OG0000315	1	0	1	1	0	1	0	0	4
OG0000316	1	0	1	0	1	0	1	0	4
OG0000317	1	0	1	0	1	0	1	0	4
OG0000318	1	0	1	0	1	1	0	0	4
OG0000319	1	0	1	2	0	0	0	0	4
OG0000320	1	0	1	0	1	1	0	0	4
OG0000321	1	0	1	0	1	0	1	0	4
OG0000322	1	0	1	0	1	0	1	0	4
OG0000323	1	0	1	0	1	0	1	0	4
OG0000324	1	0	1	0	1	0	1	0	4
OG0000325	1	0	1	0	1	0	1	0	4
OG0000326	1	0	1	0	1	0	1	0	4
OG0000327	1	0	1	0	1	0	1	0	4
OG0000328	1	0	1	0	1	0	1	0	4
OG0000329	1	0	1	0	1	0	1	0	4
OG0000330	1	0	1	0	1	0	1	0	4
OG0000331	1	1	1	0	1	0	0	0	4
OG0000332	2	0	2	0	0	0	0	0	4
OG0000333	1	0	1	0	1	0	1	0	4
OG0000334	1	1	1	1	0	0	0	0	4
OG0000335	1	0	1	0	2	0	0	0	4
OG0000336	0	1	0	1	1	0	1	0	4
OG0000337	0	0	0	1	2	1	0	0	4
OG0000338	0	0	0	4	0	0	0	0	4
OG0000339	0	0	0	1	1	1	1	0	4
OG0000340	0	0	0	0	4	0	0	0	4
OG0000341	0	0	0	0	4	0	0	0	4
OG0000342	0	0	0	0	4	0	0	0	4
OG0000343	0	0	0	0	4	0	0	0	4
OG0000344	0	0	0	0	4	0	0	0	4
OG0000345	0	0	0	0	4	0	0	0	4
OG0000346	1	0	1	0	1	0	0	0	3
OG0000347	1	0	1	0	1	0	0	0	3
OG0000348	1	0	1	1	0	0	0	0	3
OG0000349	1	0	1	1	0	0	0	0	3
OG0000350	1	0	1	1	0	0	0	0	3
OG0000351	1	0	1	0	0	1	0	0	3
OG0000352	1	0	1	0	1	0	0	0	3
OG0000353	1	0	1	0	1	0	0	0	3
OG0000354	1	0	1	0	0	1	0	0	3
OG0000355	1	0	1	0	1	0	0	0	3
OG0000356	1	0	1	1	0	0	0	0	3
OG0000357	1	0	1	1	0	0	0	0	3
OG0000358	1	0	1	0	1	0	0	0	3
OG0000359	1	0	1	0	1	0	0	0	3
OG0000360	1	0	1	0	1	0	0	0	3
OG0000361	1	0	1	1	0	0	0	0	3
OG0000362	1	0	1	0	1	0	0	0	3
OG0000363	1	0	1	0	1	0	0	0	3
OG0000364	1	0	1	0	1	0	0	0	3
OG0000365	1	0	1	1	0	0	0	0	3
OG0000366	1	0	1	0	1	0	0	0	3
OG0000367	1	0	1	0	1	0	0	0	3
OG0000368	1	0	1	1	0	0	0	0	3
OG0000369	1	0	1	0	1	0	0	0	3
OG0000370	1	0	1	1	0	0	0	0	3
OG0000371	1	0	1	0	1	0	0	0	3
OG0000372	1	0	1	0	1	0	0	0	3
OG0000373	1	0	1	0	1	0	0	0	3
OG0000374	1	0	1	1	0	0	0	0	3
OG0000375	1	0	1	1	0	0	0	0	3
OG0000376	1	0	1	1	0	0	0	0	3
OG0000377	1	0	1	0	1	0	0	0	3
OG0000378	1	0	1	1	0	0	0	0	3
OG0000379	1	0	1	1	0	0	0	0	3
OG0000380	1	0	1	0	1	0	0	0	3
OG0000381	1	0	1	1	0	0	0	0	3
OG0000382	1	0	1	0	1	0	0	0	3
OG0000383	1	0	1	0	1	0	0	0	3
OG0000384	1	0	1	0	1	0	0	0	3
OG0000385	1	0	1	1	0	0	0	0	3
OG0000386	1	0	1	1	0	0	0	0	3
OG0000387	1	0	1	1	0	0	0	0	3
OG0000388	1	0	1	0	1	0	0	0	3
OG0000389	1	0	1	1	0	0	0	0	3
OG0000390	1	0	1	1	0	0	0	0	3
OG0000391	1	0	1	0	1	0	0	0	3
OG0000392	1	0	1	0	1	0	0	0	3
OG0000393	1	0	1	0	1	0	0	0	3
OG0000394	1	0	1	0	1	0	0	0	3
OG0000395	1	0	1	0	1	0	0	0	3
OG0000396	1	0	1	1	0	0	0	0	3
OG0000397	1	0	1	0	0	0	1	0	3
OG0000398	1	0	1	0	1	0	0	0	3
OG0000399	1	0	1	1	0	0	0	0	3
OG0000400	1	0	1	1	0	0	0	0	3
OG0000401	1	0	1	0	1	0	0	0	3
OG0000402	1	0	1	0	1	0	0	0	3
OG0000403	1	0	1	1	0	0	0	0	3
OG0000404	1	0	1	1	0	0	0	0	3
OG0000405	1	0	1	1	0	0	0	0	3
OG0000406	1	0	1	1	0	0	0	0	3
OG0000407	1	0	1	0	1	0	0	0	3
OG0000408	1	0	1	0	1	0	0	0	3
OG0000409	1	0	1	0	1	0	0	0	3
OG0000410	1	0	1	1	0	0	0	0	3
OG0000411	1	1	1	0	0	0	0	0	3
OG0000412	1	0	1	1	0	0	0	0	3
OG0000413	1	0	1	1	0	0	0	0	3
OG0000414	1	0	1	0	1	0	0	0	3
OG0000415	1	0	1	1	0	0	0	0	3
OG0000416	1	0	1	1	0	0	0	0	3
OG0000417	1	0	1	1	0	0	0	0	3
OG0000418	1	0	1	0	1	0	0	0	3
OG0000419	1	0	1	1	0	0	0	0	3
OG0000420	1	0	1	0	1	0	0	0	3
OG0000421	1	0	1	1	0	0	0	0	3
OG0000422	0	1	0	0	1	0	0	1	3
OG0000423	0	1	0	0	0	1	0	1	3
OG0000424	0	0	0	1	1	0	1	0	3
OG0000425	0	0	0	3	0	0	0	0	3
OG0000426	0	0	0	1	1	1	0	0	3
OG0000427	0	0	0	3	0	0	0	0	3
OG0000428	0	0	0	3	0	0	0	0	3
OG0000429	0	0	0	1	1	0	1	0	3
OG0000430	0	0	0	1	1	0	1	0	3
OG0000431	0	0	0	1	1	0	1	0	3
OG0000432	0	0	0	1	1	1	0	0	3
OG0000433	0	0	0	2	1	0	0	0	3
OG0000434	0	0	0	0	1	1	1	0	3
OG0000435	0	0	0	0	3	0	0	0	3
OG0000436	0	0	0	0	3	0	0	0	3
OG0000437	1	0	1	0	0	0	0	0	2
OG0000438	1	0	1	0	0	0	0	0	2
OG0000439	1	0	1	0	0	0	0	0	2
OG0000440	1	0	1	0	0	0	0	0	2
OG0000441	1	0	1	0	0	0	0	0	2
OG0000442	1	0	1	0	0	0	0	0	2
OG0000443	1	0	1	0	0	0	0	0	2
OG0000444	1	0	1	0	0	0	0	0	2
OG0000445	1	0	1	0	0	0	0	0	2
OG0000446	1	0	1	0	0	0	0	0	2
OG0000447	1	0	1	0	0	0	0	0	2
OG0000448	1	0	1	0	0	0	0	0	2
OG0000449	1	0	1	0	0	0	0	0	2
OG0000450	1	0	1	0	0	0	0	0	2
OG0000451	1	0	1	0	0	0	0	0	2
OG0000452	1	0	1	0	0	0	0	0	2
OG0000453	1	0	1	0	0	0	0	0	2
OG0000454	1	0	1	0	0	0	0	0	2
OG0000455	1	0	1	0	0	0	0	0	2
OG0000456	1	0	1	0	0	0	0	0	2
OG0000457	1	0	1	0	0	0	0	0	2
OG0000458	1	0	1	0	0	0	0	0	2
OG0000459	1	0	1	0	0	0	0	0	2
OG0000460	1	0	1	0	0	0	0	0	2
OG0000461	1	0	1	0	0	0	0	0	2
OG0000462	1	0	1	0	0	0	0	0	2
OG0000463	1	0	1	0	0	0	0	0	2
OG0000464	1	0	1	0	0	0	0	0	2
OG0000465	1	0	1	0	0	0	0	0	2
OG0000466	1	0	1	0	0	0	0	0	2
OG0000467	1	0	1	0	0	0	0	0	2
OG0000468	1	0	1	0	0	0	0	0	2
OG0000469	1	0	1	0	0	0	0	0	2
OG0000470	1	0	1	0	0	0	0	0	2
OG0000471	1	0	1	0	0	0	0	0	2
OG0000472	1	0	1	0	0	0	0	0	2
OG0000473	1	0	1	0	0	0	0	0	2
OG0000474	1	0	1	0	0	0	0	0	2
OG0000475	1	0	1	0	0	0	0	0	2
OG0000476	1	0	1	0	0	0	0	0	2
OG0000477	1	0	1	0	0	0	0	0	2
OG0000478	1	0	1	0	0	0	0	0	2
OG0000479	1	0	1	0	0	0	0	0	2
OG0000480	1	0	1	0	0	0	0	0	2
OG0000481	1	0	1	0	0	0	0	0	2
OG0000482	1	0	1	0	0	0	0	0	2
OG0000483	1	0	1	0	0	0	0	0	2
OG0000484	1	0	1	0	0	0	0	0	2
OG0000485	1	0	1	0	0	0	0	0	2
OG0000486	1	0	1	0	0	0	0	0	2
OG0000487	1	0	1	0	0	0	0	0	2
OG0000488	1	0	1	0	0	0	0	0	2
OG0000489	1	0	1	0	0	0	0	0	2
OG0000490	1	0	1	0	0	0	0	0	2
OG0000491	1	0	1	0	0	0	0	0	2
OG0000492	1	0	1	0	0	0	0	0	2
OG0000493	1	0	1	0	0	0	0	0	2
OG0000494	1	0	1	0	0	0	0	0	2
OG0000495	1	0	1	0	0	0	0	0	2
OG0000496	1	0	1	0	0	0	0	0	2
OG0000497	1	0	1	0	0	0	0	0	2
OG0000498	1	0	1	0	0	0	0	0	2
OG0000499	1	0	1	0	0	0	0	0	2
OG0000500	1	0	1	0	0	0	0	0	2
OG0000501	1	0	1	0	0	0	0	0	2
OG0000502	1	0	1	0	0	0	0	0	2
OG0000503	1	0	1	0	0	0	0	0	2
OG0000504	1	0	1	0	0	0	0	0	2
OG0000505	1	0	1	0	0	0	0	0	2
OG0000506	1	0	1	0	0	0	0	0	2
OG0000507	1	0	1	0	0	0	0	0	2
OG0000508	1	0	1	0	0	0	0	0	2
OG0000509	1	0	1	0	0	0	0	0	2
OG0000510	1	0	1	0	0	0	0	0	2
OG0000511	1	0	1	0	0	0	0	0	2
OG0000512	1	0	1	0	0	0	0	0	2
OG0000513	1	0	1	0	0	0	0	0	2
OG0000514	1	0	1	0	0	0	0	0	2
OG0000515	1	0	1	0	0	0	0	0	2
OG0000516	1	0	1	0	0	0	0	0	2
OG0000517	1	0	1	0	0	0	0	0	2
OG0000518	1	0	1	0	0	0	0	0	2
OG0000519	1	0	1	0	0	0	0	0	2
OG0000520	1	0	1	0	0	0	0	0	2
OG0000521	1	0	1	0	0	0	0	0	2
OG0000522	1	0	1	0	0	0	0	0	2
OG0000523	1	0	1	0	0	0	0	0	2
OG0000524	1	0	1	0	0	0	0	0	2
OG0000525	1	0	1	0	0	0	0	0	2
OG0000526	1	0	1	0	0	0	0	0	2
OG0000527	1	0	1	0	0	0	0	0	2
OG0000528	1	0	1	0	0	0	0	0	2
OG0000529	1	0	1	0	0	0	0	0	2
OG0000530	1	0	1	0	0	0	0	0	2
OG0000531	1	0	1	0	0	0	0	0	2
OG0000532	1	0	1	0	0	0	0	0	2
OG0000533	1	0	1	0	0	0	0	0	2
OG0000534	1	0	1	0	0	0	0	0	2
OG0000535	1	0	1	0	0	0	0	0	2
OG0000536	1	0	1	0	0	0	0	0	2
OG0000537	1	0	1	0	0	0	0	0	2
OG0000538	1	0	1	0	0	0	0	0	2
OG0000539	1	0	1	0	0	0	0	0	2
OG0000540	1	0	1	0	0	0	0	0	2
OG0000541	1	0	1	0	0	0	0	0	2
OG0000542	1	0	1	0	0	0	0	0	2
OG0000543	1	0	1	0	0	0	0	0	2
OG0000544	1	0	1	0	0	0	0	0	2
OG0000545	1	0	1	0	0	0	0	0	2
OG0000546	1	0	1	0	0	0	0	0	2
OG0000547	1	0	1	0	0	0	0	0	2
OG0000548	1	0	1	0	0	0	0	0	2
OG0000549	1	0	1	0	0	0	0	0	2
OG0000550	1	0	1	0	0	0	0	0	2
OG0000551	1	0	1	0	0	0	0	0	2
OG0000552	1	0	1	0	0	0	0	0	2
OG0000553	1	0	1	0	0	0	0	0	2
OG0000554	1	0	1	0	0	0	0	0	2
OG0000555	1	0	1	0	0	0	0	0	2
OG0000556	1	0	1	0	0	0	0	0	2
OG0000557	1	0	1	0	0	0	0	0	2
OG0000558	1	0	1	0	0	0	0	0	2
OG0000559	1	0	1	0	0	0	0	0	2
OG0000560	1	0	1	0	0	0	0	0	2
OG0000561	1	0	1	0	0	0	0	0	2
OG0000562	1	0	1	0	0	0	0	0	2
OG0000563	1	0	1	0	0	0	0	0	2
OG0000564	1	0	1	0	0	0	0	0	2
OG0000565	1	0	1	0	0	0	0	0	2
OG0000566	1	0	1	0	0	0	0	0	2
OG0000567	1	0	1	0	0	0	0	0	2
OG0000568	1	0	1	0	0	0	0	0	2
OG0000569	1	0	1	0	0	0	0	0	2
OG0000570	1	0	1	0	0	0	0	0	2
