Orthogroup	costa_human_pos_go	protein_mansoni	Total
OG0000181	0	6	6
OG0000182	0	6	6
OG0000183	0	6	6
OG0000184	0	6	6
OG0000185	0	6	6
OG0000186	0	6	6
OG0000187	0	6	6
OG0000188	0	6	6
OG0000189	0	6	6
OG0000190	0	6	6
OG0000191	0	6	6
OG0000192	0	6	6
OG0000193	0	6	6
OG0000194	0	6	6
OG0000195	0	6	6
OG0000196	0	6	6
OG0000197	0	6	6
OG0000198	0	6	6
OG0000199	0	6	6
OG0000200	0	6	6
OG0000201	0	6	6
OG0000202	0	6	6
OG0000203	0	6	6
OG0000204	0	6	6
OG0000205	0	6	6
OG0000206	0	6	6
OG0000207	0	5	5
OG0000208	0	5	5
OG0000209	0	5	5
OG0000210	0	5	5
OG0000211	0	5	5
OG0000212	0	5	5
OG0000213	0	5	5
OG0000214	0	5	5
OG0000215	0	5	5
OG0000216	0	5	5
OG0000217	0	5	5
OG0000218	0	5	5
OG0000219	0	5	5
OG0000220	0	5	5
OG0000221	0	5	5
OG0000222	0	5	5
OG0000223	0	5	5
OG0000224	0	5	5
OG0000225	0	5	5
OG0000226	0	5	5
OG0000227	0	5	5
OG0000228	0	5	5
OG0000229	0	5	5
OG0000230	0	5	5
OG0000231	0	5	5
OG0000232	0	5	5
OG0000233	0	5	5
OG0000234	0	5	5
OG0000235	0	5	5
OG0000236	0	5	5
OG0000237	0	5	5
OG0000238	0	5	5
OG0000239	0	5	5
OG0000240	0	5	5
OG0000241	0	5	5
OG0000242	0	5	5
OG0000243	0	5	5
OG0000244	0	5	5
OG0000245	0	5	5
OG0000246	0	5	5
OG0000247	0	5	5
OG0000248	0	5	5
OG0000249	0	5	5
OG0000250	0	5	5
OG0000251	0	5	5
OG0000252	0	5	5
OG0000253	0	5	5
OG0000254	0	5	5
OG0000255	0	5	5
OG0000256	0	5	5
OG0000257	0	5	5
OG0000258	0	5	5
OG0000259	0	5	5
OG0000260	0	5	5
OG0000261	0	4	4
OG0000262	0	4	4
OG0000263	0	4	4
OG0000264	0	4	4
OG0000265	0	4	4
OG0000266	0	4	4
OG0000267	0	4	4
OG0000268	0	4	4
OG0000269	0	4	4
OG0000270	0	4	4
OG0000271	0	4	4
OG0000272	0	4	4
OG0000273	0	4	4
OG0000274	0	4	4
OG0000275	0	4	4
OG0000276	0	4	4
OG0000277	0	4	4
OG0000278	0	4	4
OG0000279	0	4	4
OG0000280	0	4	4
OG0000281	0	4	4
OG0000282	0	4	4
OG0000283	0	4	4
OG0000284	0	4	4
OG0000285	0	4	4
OG0000286	0	4	4
OG0000287	0	4	4
OG0000288	0	4	4
OG0000289	0	4	4
OG0000290	0	4	4
OG0000291	0	4	4
OG0000292	0	4	4
OG0000293	0	4	4
OG0000294	0	4	4
OG0000295	0	4	4
OG0000296	0	4	4
OG0000297	0	4	4
OG0000298	0	4	4
OG0000299	0	4	4
OG0000300	0	4	4
OG0000301	0	4	4
OG0000302	0	4	4
OG0000303	0	4	4
OG0000304	0	4	4
OG0000305	0	4	4
OG0000306	0	4	4
OG0000307	0	4	4
OG0000308	0	4	4
OG0000309	0	4	4
OG0000310	0	4	4
OG0000311	0	4	4
OG0000312	0	4	4
OG0000313	0	4	4
OG0000314	0	4	4
OG0000315	0	4	4
OG0000316	0	4	4
OG0000317	0	4	4
OG0000318	0	4	4
OG0000319	0	4	4
OG0000320	0	4	4
OG0000321	0	4	4
OG0000322	0	4	4
OG0000323	0	4	4
OG0000324	0	4	4
OG0000325	0	4	4
OG0000326	0	4	4
OG0000327	0	4	4
OG0000328	0	4	4
OG0000329	0	4	4
OG0000330	0	4	4
OG0000331	0	4	4
OG0000332	0	4	4
OG0000333	0	4	4
OG0000334	0	4	4
OG0000335	0	4	4
OG0000336	0	4	4
OG0000337	0	4	4
OG0000338	0	4	4
OG0000339	0	4	4
OG0000340	0	4	4
OG0000341	0	4	4
OG0000342	0	4	4
OG0000343	0	4	4
OG0000344	0	4	4
OG0000345	0	4	4
OG0000346	0	4	4
OG0000347	0	4	4
OG0000348	0	4	4
OG0000349	0	4	4
OG0000350	0	4	4
OG0000351	0	4	4
OG0000352	0	4	4
OG0000353	0	4	4
OG0000354	0	3	3
OG0000355	0	3	3
OG0000356	0	3	3
OG0000357	0	3	3
OG0000358	0	3	3
OG0000359	0	3	3
OG0000360	0	3	3
OG0000361	0	3	3
OG0000362	0	3	3
OG0000363	0	3	3
OG0000364	0	3	3
OG0000365	0	3	3
OG0000366	0	3	3
OG0000367	0	3	3
OG0000368	0	3	3
OG0000369	0	3	3
OG0000370	0	3	3
OG0000371	0	3	3
OG0000372	0	3	3
OG0000373	0	3	3
OG0000374	0	3	3
OG0000375	0	3	3
OG0000376	0	3	3
OG0000377	0	3	3
OG0000378	0	3	3
OG0000379	0	3	3
OG0000380	0	3	3
OG0000381	0	3	3
OG0000382	0	3	3
OG0000383	0	3	3
OG0000384	0	3	3
OG0000385	0	3	3
OG0000386	0	3	3
OG0000387	0	3	3
OG0000388	0	3	3
OG0000389	0	3	3
OG0000390	0	3	3
OG0000391	0	3	3
OG0000392	0	3	3
OG0000393	0	3	3
OG0000394	0	3	3
OG0000395	0	3	3
OG0000396	0	3	3
OG0000397	0	3	3
OG0000398	0	3	3
OG0000399	0	3	3
OG0000400	0	3	3
OG0000401	0	3	3
OG0000402	0	3	3
OG0000403	0	3	3
OG0000404	0	3	3
OG0000405	0	3	3
OG0000406	0	3	3
OG0000407	0	3	3
OG0000408	0	3	3
OG0000409	0	3	3
OG0000410	0	3	3
OG0000411	0	3	3
OG0000412	0	3	3
OG0000413	0	3	3
OG0000414	0	3	3
OG0000415	0	3	3
OG0000416	0	3	3
OG0000417	0	3	3
OG0000418	0	3	3
OG0000419	0	3	3
OG0000420	0	3	3
OG0000421	0	3	3
OG0000422	0	3	3
OG0000423	0	3	3
OG0000424	0	3	3
OG0000425	0	3	3
OG0000426	0	3	3
OG0000427	0	3	3
OG0000428	0	3	3
OG0000429	0	3	3
OG0000430	0	3	3
OG0000431	0	3	3
OG0000432	0	3	3
OG0000433	0	3	3
OG0000434	0	3	3
OG0000435	0	3	3
OG0000436	0	3	3
OG0000437	0	3	3
OG0000438	0	3	3
OG0000439	0	3	3
OG0000440	0	3	3
OG0000441	0	3	3
OG0000442	0	3	3
OG0000443	0	3	3
OG0000444	0	3	3
OG0000445	0	3	3
OG0000446	0	3	3
OG0000447	0	3	3
OG0000448	0	3	3
OG0000449	0	3	3
OG0000450	0	3	3
OG0000451	0	3	3
OG0000452	0	3	3
OG0000453	0	3	3
OG0000454	0	3	3
OG0000455	0	3	3
OG0000456	0	3	3
OG0000457	0	3	3
OG0000458	0	3	3
OG0000459	0	3	3
OG0000460	0	3	3
OG0000461	0	3	3
OG0000462	0	3	3
OG0000463	0	3	3
OG0000464	0	3	3
OG0000465	0	3	3
OG0000466	0	3	3
OG0000467	0	3	3
OG0000468	0	3	3
OG0000469	0	3	3
OG0000470	0	3	3
OG0000471	0	3	3
OG0000472	0	3	3
OG0000473	0	3	3
OG0000474	0	3	3
OG0000475	0	3	3
OG0000476	0	3	3
OG0000477	0	3	3
OG0000478	0	3	3
OG0000479	0	3	3
OG0000480	0	3	3
OG0000481	0	3	3
OG0000482	0	3	3
OG0000483	0	3	3
OG0000484	0	3	3
OG0000485	0	3	3
OG0000486	0	3	3
OG0000487	0	3	3
OG0000488	0	3	3
OG0000489	0	3	3
OG0000490	0	3	3
OG0000491	0	3	3
OG0000492	0	3	3
OG0000493	0	3	3
OG0000494	0	3	3
OG0000495	0	3	3
OG0000496	0	3	3
OG0000497	0	3	3
OG0000498	0	3	3
OG0000499	0	3	3
OG0000500	0	3	3
OG0000501	0	3	3
OG0000502	0	3	3
OG0000503	0	3	3
OG0000504	0	3	3
OG0000505	0	3	3
OG0000506	0	3	3
OG0000507	0	3	3
OG0000508	0	3	3
OG0000509	0	3	3
OG0000510	0	3	3
OG0000511	0	3	3
OG0000512	0	3	3
OG0000513	0	3	3
OG0000514	0	3	3
OG0000515	0	3	3
OG0000516	0	3	3
OG0000517	0	3	3
OG0000518	0	3	3
OG0000519	0	3	3
OG0000520	0	3	3
OG0000521	0	3	3
OG0000522	0	3	3
OG0000523	0	3	3
OG0000524	0	3	3
OG0000525	0	3	3
OG0000526	0	3	3
OG0000527	0	3	3
OG0000528	0	3	3
OG0000529	0	3	3
OG0000530	0	3	3
OG0000531	0	3	3
OG0000532	0	3	3
OG0000533	0	3	3
OG0000534	0	3	3
OG0000535	0	3	3
OG0000536	0	3	3
OG0000537	0	3	3
OG0000538	0	3	3
OG0000539	0	3	3
OG0000540	0	3	3
OG0000541	0	3	3
OG0000542	0	3	3
OG0000543	1	1	2
OG0000544	0	2	2
OG0000545	0	2	2
OG0000546	0	2	2
OG0000547	0	2	2
OG0000548	0	2	2
OG0000549	0	2	2
OG0000550	0	2	2
OG0000551	0	2	2
OG0000552	0	2	2
OG0000553	0	2	2
OG0000554	0	2	2
OG0000555	0	2	2
OG0000556	0	2	2
OG0000557	0	2	2
OG0000558	0	2	2
OG0000559	0	2	2
OG0000560	0	2	2
OG0000561	0	2	2
OG0000562	0	2	2
OG0000563	0	2	2
OG0000564	0	2	2
OG0000565	0	2	2
OG0000566	0	2	2
OG0000567	0	2	2
OG0000568	0	2	2
OG0000569	0	2	2
OG0000570	0	2	2
OG0000571	0	2	2
OG0000572	0	2	2
OG0000573	0	2	2
OG0000574	0	2	2
OG0000575	0	2	2
OG0000576	0	2	2
OG0000577	0	2	2
OG0000578	0	2	2
OG0000579	0	2	2
OG0000580	0	2	2
OG0000581	0	2	2
OG0000582	0	2	2
OG0000583	0	2	2
OG0000584	0	2	2
OG0000585	0	2	2
OG0000586	0	2	2
OG0000587	0	2	2
OG0000588	0	2	2
OG0000589	0	2	2
OG0000590	0	2	2
OG0000591	0	2	2
OG0000592	0	2	2
OG0000593	0	2	2
OG0000594	0	2	2
OG0000595	0	2	2
OG0000596	0	2	2
OG0000597	0	2	2
OG0000598	0	2	2
OG0000599	0	2	2
OG0000600	0	2	2
OG0000601	0	2	2
OG0000602	0	2	2
OG0000603	0	2	2
OG0000604	0	2	2
OG0000605	0	2	2
OG0000606	0	2	2
OG0000607	0	2	2
OG0000608	0	2	2
OG0000609	0	2	2
OG0000610	0	2	2
OG0000611	0	2	2
OG0000612	0	2	2
OG0000613	0	2	2
OG0000614	0	2	2
OG0000615	0	2	2
OG0000616	0	2	2
OG0000617	0	2	2
OG0000618	0	2	2
OG0000619	0	2	2
OG0000620	0	2	2
OG0000621	0	2	2
OG0000622	0	2	2
OG0000623	0	2	2
OG0000624	0	2	2
OG0000625	0	2	2
OG0000626	0	2	2
OG0000627	0	2	2
OG0000628	0	2	2
OG0000629	0	2	2
OG0000630	0	2	2
OG0000631	0	2	2
OG0000632	0	2	2
OG0000633	0	2	2
OG0000634	0	2	2
OG0000635	0	2	2
OG0000636	0	2	2
OG0000637	0	2	2
OG0000638	0	2	2
OG0000639	0	2	2
OG0000640	0	2	2
OG0000641	0	2	2
OG0000642	0	2	2
OG0000643	0	2	2
OG0000644	0	2	2
OG0000645	0	2	2
OG0000646	0	2	2
OG0000647	0	2	2
OG0000648	0	2	2
OG0000649	0	2	2
OG0000650	0	2	2
OG0000651	0	2	2
OG0000652	0	2	2
OG0000653	0	2	2
OG0000654	0	2	2
OG0000655	0	2	2
OG0000656	0	2	2
OG0000657	0	2	2
OG0000658	0	2	2
OG0000659	0	2	2
OG0000660	0	2	2
OG0000661	0	2	2
OG0000662	0	2	2
OG0000663	0	2	2
OG0000664	0	2	2
OG0000665	0	2	2
OG0000666	0	2	2
OG0000667	0	2	2
OG0000668	0	2	2
OG0000669	0	2	2
OG0000670	0	2	2
OG0000671	0	2	2
OG0000672	0	2	2
OG0000673	0	2	2
OG0000674	0	2	2
OG0000675	0	2	2
OG0000676	0	2	2
OG0000677	0	2	2
OG0000678	0	2	2
OG0000679	0	2	2
OG0000680	0	2	2
OG0000681	0	2	2
OG0000682	0	2	2
OG0000683	0	2	2
OG0000684	0	2	2
OG0000685	0	2	2
OG0000686	0	2	2
OG0000687	0	2	2
OG0000688	0	2	2
OG0000689	0	2	2
OG0000690	0	2	2
OG0000691	0	2	2
OG0000692	0	2	2
OG0000693	0	2	2
OG0000694	0	2	2
OG0000695	0	2	2
OG0000696	0	2	2
OG0000697	0	2	2
OG0000698	0	2	2
OG0000699	0	2	2
OG0000700	0	2	2
OG0000701	0	2	2
OG0000702	0	2	2
OG0000703	0	2	2
OG0000704	0	2	2
OG0000705	0	2	2
OG0000706	0	2	2
OG0000707	0	2	2
OG0000708	0	2	2
OG0000709	0	2	2
OG0000710	0	2	2
OG0000711	0	2	2
OG0000712	0	2	2
OG0000713	0	2	2
OG0000714	0	2	2
OG0000715	0	2	2
OG0000716	0	2	2
OG0000717	0	2	2
OG0000718	0	2	2
OG0000719	0	2	2
OG0000720	0	2	2
OG0000721	0	2	2
OG0000722	0	2	2
OG0000723	0	2	2
OG0000724	0	2	2
OG0000725	0	2	2
OG0000726	0	2	2
OG0000727	0	2	2
OG0000728	0	2	2
OG0000729	0	2	2
OG0000730	0	2	2
OG0000731	0	2	2
OG0000732	0	2	2
OG0000733	0	2	2
OG0000734	0	2	2
OG0000735	0	2	2
OG0000736	0	2	2
OG0000737	0	2	2
OG0000738	0	2	2
OG0000739	0	2	2
OG0000740	0	2	2
OG0000741	0	2	2
OG0000742	0	2	2
OG0000743	0	2	2
OG0000744	0	2	2
OG0000745	0	2	2
OG0000746	0	2	2
OG0000747	0	2	2
OG0000748	0	2	2
OG0000749	0	2	2
OG0000750	0	2	2
OG0000751	0	2	2
OG0000752	0	2	2
OG0000753	0	2	2
OG0000754	0	2	2
OG0000755	0	2	2
OG0000756	0	2	2
OG0000757	0	2	2
OG0000758	0	2	2
OG0000759	0	2	2
OG0000760	0	2	2
OG0000761	0	2	2
OG0000762	0	2	2
OG0000763	0	2	2
OG0000764	0	2	2
OG0000765	0	2	2
OG0000766	0	2	2
OG0000767	0	2	2
OG0000768	0	2	2
OG0000769	0	2	2
OG0000770	0	2	2
OG0000771	0	2	2
OG0000772	0	2	2
OG0000773	0	2	2
OG0000774	0	2	2
OG0000775	0	2	2
OG0000776	0	2	2
OG0000777	0	2	2
OG0000778	0	2	2
OG0000779	0	2	2
OG0000780	0	2	2
OG0000781	0	2	2
OG0000782	0	2	2
OG0000783	0	2	2
OG0000784	0	2	2
OG0000785	0	2	2
OG0000786	0	2	2
OG0000787	0	2	2
OG0000788	0	2	2
OG0000789	0	2	2
OG0000790	0	2	2
OG0000791	0	2	2
OG0000792	0	2	2
OG0000793	0	2	2
OG0000794	0	2	2
OG0000795	0	2	2
OG0000796	0	2	2
OG0000797	0	2	2
OG0000798	0	2	2
OG0000799	0	2	2
OG0000800	0	2	2
OG0000801	0	2	2
OG0000802	0	2	2
OG0000803	0	2	2
OG0000804	0	2	2
OG0000805	0	2	2
OG0000806	0	2	2
OG0000807	0	2	2
OG0000808	0	2	2
OG0000809	0	2	2
OG0000810	0	2	2
OG0000811	0	2	2
OG0000812	0	2	2
OG0000813	0	2	2
OG0000814	0	2	2
OG0000815	0	2	2
OG0000816	0	2	2
OG0000817	0	2	2
OG0000818	0	2	2
OG0000819	0	2	2
OG0000820	0	2	2
OG0000821	0	2	2
OG0000822	0	2	2
OG0000823	0	2	2
OG0000824	0	2	2
OG0000825	0	2	2
OG0000826	0	2	2
OG0000827	0	2	2
OG0000828	0	2	2
OG0000829	0	2	2
OG0000830	0	2	2
OG0000831	0	2	2
OG0000832	0	2	2
OG0000833	0	2	2
OG0000834	0	2	2
OG0000835	0	2	2
OG0000836	0	2	2
OG0000837	0	2	2
OG0000838	0	2	2
OG0000839	0	2	2
OG0000840	0	2	2
OG0000841	0	2	2
OG0000842	0	2	2
OG0000843	0	2	2
OG0000844	0	2	2
OG0000845	0	2	2
OG0000846	0	2	2
OG0000847	0	2	2
OG0000848	0	2	2
OG0000849	0	2	2
OG0000850	0	2	2
OG0000851	0	2	2
OG0000852	0	2	2
OG0000853	0	2	2
OG0000854	0	2	2
OG0000855	0	2	2
OG0000856	0	2	2
OG0000857	0	2	2
OG0000858	0	2	2
OG0000859	0	2	2
OG0000860	0	2	2
OG0000861	0	2	2
OG0000862	0	2	2
OG0000863	0	2	2
OG0000864	0	2	2
OG0000865	0	2	2
OG0000866	0	2	2
OG0000867	0	2	2
OG0000868	0	2	2
OG0000869	0	2	2
OG0000870	0	2	2
OG0000871	0	2	2
OG0000872	0	2	2
OG0000873	0	2	2
OG0000874	0	2	2
OG0000875	0	2	2
OG0000876	0	2	2
OG0000877	0	2	2
OG0000878	0	2	2
OG0000879	0	2	2
OG0000880	0	2	2
OG0000881	0	2	2
OG0000882	0	2	2
OG0000883	0	2	2
OG0000884	0	2	2
OG0000885	0	2	2
OG0000886	0	2	2
OG0000887	0	2	2
OG0000888	0	2	2
OG0000889	0	2	2
OG0000890	0	2	2
OG0000891	0	2	2
OG0000892	0	2	2
OG0000893	0	2	2
OG0000894	0	2	2
OG0000895	0	2	2
OG0000896	0	2	2
OG0000897	0	2	2
OG0000898	0	2	2
OG0000899	0	2	2
OG0000900	0	2	2
OG0000901	0	2	2
OG0000902	0	2	2
OG0000903	0	2	2
OG0000904	0	2	2
OG0000905	0	2	2
OG0000906	0	2	2
OG0000907	0	2	2
OG0000908	0	2	2
OG0000909	0	2	2
OG0000910	0	2	2
OG0000911	0	2	2
OG0000912	0	2	2
OG0000913	0	2	2
OG0000914	0	2	2
OG0000915	0	2	2
OG0000916	0	2	2
OG0000917	0	2	2
OG0000918	0	2	2
OG0000919	0	2	2
OG0000920	0	2	2
OG0000921	0	2	2
OG0000922	0	2	2
OG0000923	0	2	2
OG0000924	0	2	2
OG0000925	0	2	2
OG0000926	0	2	2
OG0000927	0	2	2
OG0000928	0	2	2
OG0000929	0	2	2
OG0000930	0	2	2
OG0000931	0	2	2
OG0000932	0	2	2
OG0000933	0	2	2
OG0000934	0	2	2
OG0000935	0	2	2
OG0000936	0	2	2
OG0000937	0	2	2
OG0000938	0	2	2
OG0000939	0	2	2
OG0000940	0	2	2
OG0000941	0	2	2
OG0000942	0	2	2
OG0000943	0	2	2
OG0000944	0	2	2
OG0000945	0	2	2
OG0000946	0	2	2
OG0000947	0	2	2
OG0000948	0	2	2
OG0000949	0	2	2
OG0000950	0	2	2
OG0000951	0	2	2
OG0000952	0	2	2
OG0000953	0	2	2
OG0000954	0	2	2
OG0000955	0	2	2
OG0000956	0	2	2
OG0000957	0	2	2
OG0000958	0	2	2
OG0000959	0	2	2
OG0000960	0	2	2
OG0000961	0	2	2
OG0000962	0	2	2
OG0000963	0	2	2
OG0000964	0	2	2
OG0000965	0	2	2
OG0000966	0	2	2
OG0000967	0	2	2
OG0000968	0	2	2
OG0000969	0	2	2
OG0000970	0	2	2
OG0000971	0	2	2
OG0000972	0	2	2
OG0000973	0	2	2
OG0000974	0	2	2
OG0000975	0	2	2
OG0000976	0	2	2
OG0000977	0	2	2
OG0000978	0	2	2
OG0000979	0	2	2
OG0000980	0	2	2
OG0000981	0	2	2
OG0000982	0	2	2
OG0000983	0	2	2
OG0000984	0	2	2
OG0000985	0	2	2
OG0000986	0	2	2
OG0000987	0	2	2
OG0000988	0	2	2
OG0000989	0	2	2
OG0000990	0	2	2
OG0000991	0	2	2
OG0000992	0	2	2
OG0000993	0	2	2
OG0000994	0	2	2
OG0000995	0	2	2
OG0000996	0	2	2
OG0000997	0	2	2
OG0000998	0	2	2
OG0000999	0	2	2
OG0001000	0	2	2
OG0001001	0	2	2
OG0001002	0	2	2
OG0001003	0	2	2
OG0001004	0	2	2
OG0001005	0	2	2
OG0001006	0	2	2
OG0001007	0	2	2
OG0001008	0	2	2
OG0001009	0	2	2
OG0001010	0	2	2
OG0001011	0	2	2
OG0001012	0	2	2
OG0001013	0	2	2
OG0001014	0	2	2
OG0001015	0	2	2
OG0001016	0	2	2
OG0001017	0	2	2
OG0001018	0	2	2
OG0001019	0	2	2
OG0001020	0	2	2
OG0001021	0	2	2
OG0001022	0	2	2
OG0001023	0	2	2
OG0001024	0	2	2
OG0001025	0	2	2
OG0001026	0	2	2
OG0001027	0	2	2
OG0001028	0	2	2
OG0001029	0	2	2
OG0001030	0	2	2
OG0001031	0	2	2
OG0001032	0	2	2
OG0001033	0	2	2
OG0001034	0	2	2
OG0001035	0	2	2
OG0001036	0	2	2
OG0001037	0	2	2
